SIZE,COMPRESSED,RATIO,TIME
1790,1031,0.57597765363128,0.015125036239624
1795,1015,0.56545961002786,0.014420986175537
1800,903,0.50166666666667,0.014847993850708
1850,1023,0.55297297297297,0.015084981918335
1805,928,0.51412742382271,0.015066146850586
1810,1035,0.57182320441989,0.014533996582031
1815,1014,0.55867768595041,0.015523910522461
1820,1038,0.57032967032967,0.014487981796265
1825,920,0.5041095890411,0.014786005020142
1830,1031,0.56338797814208,0.015349864959717
1835,1031,0.56185286103542,0.014760971069336
1840,1020,0.55434782608696,0.014370203018188
1845,1035,0.5609756097561,0.014888048171997
1850,995,0.53783783783784,0.014750003814697
1900,1054,0.55473684210526,0.014830112457275
1855,945,0.50943396226415,0.014865159988403
1860,1039,0.55860215053763,0.014790058135986
200,212,1.06,0.014835834503174
1870,954,0.51016042780749,0.014859914779663
1875,934,0.49813333333333,0.015602827072144
1880,1024,0.54468085106383,0.015306949615479
1885,1040,0.55172413793103,0.014689922332764
1890,1019,0.53915343915344,0.014409065246582
1895,1020,0.53825857519789,0.016211032867432
1900,1043,0.54894736842105,0.014867067337036
1950,1049,0.53794871794872,0.015034914016724
1905,1047,0.5496062992126,0.01446008682251
1910,1048,0.54869109947644,0.014170169830322
1915,1042,0.54412532637076,0.014446973800659
1920,1040,0.54166666666667,0.01484489440918
1925,1039,0.53974025974026,0.01426100730896
1930,1047,0.54248704663212,0.014379024505615
1935,976,0.50439276485788,0.014722108840942
1940,1042,0.53711340206186,0.017094135284424
1945,1036,0.53264781491003,0.016526937484741
1950,1043,0.53487179487179,0.015167951583862
2000,1067,0.5335,0.015284061431885
1955,1052,0.5381074168798,0.015506982803345
1960,1044,0.53265306122449,0.014908075332642
1965,1053,0.53587786259542,0.014894008636475
1970,1060,0.53807106598985,0.01655101776123
1975,1055,0.53417721518987,0.016334056854248
1980,1059,0.53484848484848,0.014968156814575
1360,797,0.58602941176471,0.015061855316162
1990,981,0.4929648241206,0.014616966247559
1995,1064,0.53333333333333,0.015404939651489
2000,1069,0.5345,0.014975070953369
2050,1094,0.53365853658537,0.015175104141235
2005,1066,0.53167082294264,0.01603889465332
2010,1069,0.5318407960199,0.014930963516235
750,544,0.72533333333333,0.014320850372314
2020,1079,0.53415841584158,0.014843225479126
1805,928,0.51412742382271,0.015369176864624
1200,746,0.62166666666667,0.015591144561768
2035,1082,0.53169533169533,0.015836954116821
2040,1087,0.5328431372549,0.015528202056885
2045,995,0.48655256723716,0.014260053634644
2050,1101,0.53707317073171,0.01524806022644
2100,1105,0.52619047619048,0.015825986862183
2055,1073,0.52214111922141,0.015883922576904
2060,1098,0.53300970873786,0.01505184173584
2065,1095,0.53026634382567,0.015792846679688
2070,1098,0.5304347826087,0.016202926635742
2075,1092,0.52626506024096,0.014582872390747
2080,1096,0.52692307692308,0.015362024307251
2085,1096,0.52565947242206,0.015246868133545
2090,1093,0.52296650717703,0.015456914901733
610,428,0.7016393442623,0.014461994171143
2100,1001,0.47666666666667,0.015905141830444
2150,1130,0.52558139534884,0.016052007675171
2105,1104,0.52446555819477,0.014528036117554
2110,1102,0.52227488151659,0.014562129974365
2115,1105,0.52245862884161,0.014236927032471
2120,1115,0.52594339622642,0.01552414894104
2125,1031,0.48517647058824,0.015596866607666
2130,1123,0.52723004694836,0.016380071640015
2135,1126,0.52740046838407,0.016165971755981
2140,1127,0.52663551401869,0.015130043029785
2145,1136,0.52960372960373,0.014665842056274
2150,1116,0.51906976744186,0.01487398147583
2200,1142,0.51909090909091,0.015236854553223
2155,1130,0.52436194895592,0.014580965042114
2160,1143,0.52916666666667,0.020726203918457
2165,1128,0.52101616628176,0.014227867126465
2170,1145,0.52764976958525,0.015435934066772
2175,1145,0.5264367816092,0.014374017715454
2180,1142,0.52385321100917,0.01439380645752
2185,1158,0.52997711670481,0.016005039215088
2190,1149,0.52465753424658,0.015120029449463
2195,1033,0.47061503416856,0.017028093338013
2200,1108,0.50363636363636,0.015828847885132
2250,1111,0.49377777777778,0.01480507850647
2205,1138,0.51609977324263,0.014042139053345
2210,1141,0.51628959276018,0.014116048812866
2215,1132,0.51106094808126,0.014563083648682
2220,1138,0.51261261261261,0.014293909072876
2225,1141,0.51280898876404,0.014533996582031
2230,1138,0.51031390134529,0.014513969421387
2235,1123,0.50246085011186,0.014539003372192
2240,1142,0.50982142857143,0.014593839645386
2245,1130,0.50334075723831,0.014938831329346
2250,1142,0.50755555555556,0.014157056808472
2300,1133,0.49260869565217,0.014249086380005
2255,1156,0.51263858093126,0.01492714881897
2260,1147,0.50752212389381,0.014286041259766
2265,984,0.43443708609272,0.014605045318604
2270,1088,0.47929515418502,0.014546871185303
2275,1141,0.50153846153846,0.016129016876221
2280,1146,0.50263157894737,0.017426013946533
2285,1099,0.48096280087527,0.014608860015869
2290,1155,0.50436681222707,0.015976905822754
2295,1150,0.50108932461874,0.015892028808594
2300,1149,0.4995652173913,0.015375137329102
2350,1100,0.46808510638298,0.014720916748047
2305,1142,0.49544468546638,0.014414072036743
2310,1150,0.4978354978355,0.017169952392578
2315,1147,0.49546436285097,0.020116090774536
1350,794,0.58814814814815,0.020359039306641
